"Sl No","Name of the Image","X min","Y min","X max","Y max","","",""
"1","A_1109_1.LEFT_CC","92.336978912354","68.472981452942","640","532.66510009766","","",""
"2","A_1109_1.LEFT_MLO","132.74139404297","62.450637817383","640","514.20970916748","","",""
"3","A_1109_1.LEFT_MLO","413.54732513428","0","640","344.60773468018","","",""
"4","A_1109_1.LEFT_MLO","423.61946105957","0.99495850503445","552.48710632324","119.60268974304","","",""
"5","A_1112_1.LEFT_CC","430.41053771973","386.21616363525","514.30438995361","448.8480758667","","",""
"6","A_1112_1.LEFT_CC","221.34559631348","115.75582504272","640","547.88333892822","","",""
"7","A_1112_1.LEFT_MLO","447.50686645508","255.74062347412","517.51750946045","316.75586700439","","",""
"8","A_1112_1.LEFT_MLO","204.1047668457","23.082942962646","640","546.45385742188","","",""
"9","A_1112_1.LEFT_MLO","401.71627044678","0","638.09482574463","311.41107559204","","",""
"10","A_1113_1.RIGHT_CC","60.468263626099","149.88656044006","412.82104492188","507.37197875977","","",""
"11","A_1114_1.LEFT_MLO","233.48176956177","279.07224655151","575.87852478027","464.79732513428","","",""
"12","A_1121_1.LEFT_CC","567.4951171875","256.18154525757","639.19734954834","457.00115203857","","",""
"13","A_1121_1.LEFT_MLO","534.99748229981","62.456855773926","640","541.68544769287","","",""
"14","A_1122_1.LEFT_CC","187.13327407837","115.55744171143","640","488.72539520264","","",""
"15","A_1124_1.LEFT_MLO","195.139503479","351.35917663574","342.00561523438","507.83092498779","","",""
"16","A_1125_1.LEFT_CC","187.29320526123","61.086754798889","632.43907928467","539.22660827637","","",""
"17","A_1125_1.LEFT_MLO","153.26906204224","42.497673034668","633.76068115234","577.24250793457","","",""
"18","A_1128_1.LEFT_MLO","419.48768615723","209.49558258057","496.29905700684","246.54705047607","","",""
"19","A_1128_1.RIGHT_CC","417.08713531494","374.95468139648","466.47594451904","405.71140289307","","",""
"20","A_1128_1.RIGHT_MLO","262.89403915405","253.2940864563","382.97298431397","324.03541564941","","",""
"21","A_1128_1.RIGHT_MLO","256.47203445435","245.07221221924","393.02333831787","355.5362701416","","",""
"22","A_1130_1.LEFT_MLO","277.20098495483","284.19654846191","519.72450256348","489.37175750732","","",""
"23","A_1130_1.LEFT_MLO","520.12825012207","0","634.81681823731","121.72863006592","","",""
"24","A_1130_1.LEFT_MLO","290.04020690918","40.982799530029","640","524.60403442383","","",""
"25","A_1130_1.LEFT_MLO","543.69159698486","158.97614479065","577.39700317383","188.19957733154","","",""
"26","A_1132_1.LEFT_CC","502.47226715088","391.30340576172","568.55312347412","424.4055557251","","",""
"27","A_1132_1.LEFT_MLO","363.19065093994","36.64938211441","640","561.35234832764","","",""
"28","A_1133_1.RIGHT_CC","1.965079754591","115.39979934692","229.78008270264","270.51383972168","","",""
"29","A_1133_1.RIGHT_CC","21.564502716064","119.66574668884","294.21607971191","327.63904571533","","",""
"30","A_1133_1.RIGHT_CC","5.3628581762314","123.96601676941","315.13181686401","443.05969238281","","",""
"31","A_1133_1.RIGHT_CC","343.02299499512","82.923221588135","416.16928100586","120.29947280884","","",""
"32","A_1133_1.RIGHT_MLO","26.86948299408","289.38894271851","394.4690322876","424.57672119141","","",""
"33","A_1134_1.RIGHT_MLO","204.25416946411","225.60989379883","382.65827178955","343.61389160156","","",""
"34","A_1135_1.LEFT_CC","440.88226318359","305.19567489624","464.34074401855","323.45504760742","","",""
"35","A_1135_1.LEFT_MLO","390.70198059082","298.81116867065","426.4986038208","319.43336486816","","",""
"36","A_1135_1.LEFT_MLO","517.68589019775","391.71092987061","538.54915618896","411.07124328613","","",""
"37","A_1135_1.LEFT_MLO","140.79128265381","77.010855674744","640","588.81595611572","","",""
"38","A_1140_1.LEFT_MLO","472.84019470215","31.123292446136","640","312.47968673706","","",""
"39","A_1140_1.LEFT_MLO","212.44905471802","16.352262496948","640","553.38489532471","","",""
"40","A_1140_1.LEFT_MLO","233.32096099854","407.32906341553","387.94700622559","502.73612976074","","",""
"41","A_1141_1.RIGHT_MLO","169.59831237793","245.41025161743","388.64948272705","341.61293029785","","",""
"42","A_1142_1.LEFT_MLO","506.59427642822","285.78828811646","573.41407775879","326.57176971436","","",""
"43","A_1143_1.LEFT_MLO","418.75019073486","206.81583404541","610.85391998291","276.30891799927","","",""
"44","A_1144_1.RIGHT_CC","241.69723510742","327.0125579834","454.42092895508","484.77378845215","","",""
"45","A_1144_1.RIGHT_MLO","211.2163734436","313.10176849365","286.20538711548","360.82202911377","","",""
"46","A_1144_1.RIGHT_MLO","261.27660751343","412.90077209473","419.72015380859","523.11923980713","","",""
"47","A_1144_1.RIGHT_MLO","9.0384441614151","390.4704284668","435.83271026611","554.56245422363","","",""
"48","A_1144_1.RIGHT_MLO","286.23699188232","420.5770111084","402.95436859131","505.80062866211","","",""
"49","A_1145_1.LEFT_CC","320.60501098633","131.28322601318","626.57417297363","437.63229370117","","",""
"50","A_1145_1.LEFT_MLO","349.50229644775","255.64434051514","625.83557128906","533.21517944336","","",""
"51","A_1146_1.LEFT_MLO","157.54900932312","255.35129547119","555.69519042969","539.86747741699","","",""
"52","A_1146_1.LEFT_MLO","573.30738067627","453.64391326904","636.54579162598","566.04022979736","","",""
"53","A_1147_1.LEFT_CC","396.2873840332","160.04745483398","585.10021209717","260.27349472046","","",""
"54","A_1148_1.LEFT_CC","480.2864074707","327.77667999268","594.89559173584","419.11727905273","","",""
"55","A_1148_1.LEFT_CC","200.2206993103","108.04060935974","637.80117034912","567.02571868896","","",""
"56","A_1148_1.LEFT_CC","372.07565307617","134.36886787415","637.92919158936","271.9694519043","","",""
"57","A_1148_1.LEFT_CC","473.49941253662","298.84593963623","597.68230438232","440.21522521973","","",""
"58","A_1148_1.LEFT_MLO","418.28807830811","360.47939300537","531.63192749023","438.23429107666","","",""
"59","A_1148_1.LEFT_MLO","222.66078948975","168.21397781372","553.28464508057","440.78998565674","","",""
"60","A_1148_1.LEFT_MLO","159.74014282227","194.92183685303","610.62969207764","602.99114227295","","",""
"61","A_1148_1.LEFT_MLO","263.11214447022","180.81052780151","531.22810363769","321.60320281982","","",""
"62","A_1148_1.LEFT_MLO","351.35646820068","180.37700653076","529.48905944824","286.65912628174","","",""
"63","A_1150_1.RIGHT_CC","381.19205474853","291.60343170166","482.31452941895","390.5428314209","","",""
"64","A_1152_1.LEFT_CC","255.92571258545","212.21044540405","596.79161071777","434.30107116699","","",""
"65","A_1152_1.LEFT_MLO","274.59785461426","276.27214431763","565.33393859863","467.73906707764","","",""
"66","A_1152_1.LEFT_MLO","524.59560394287","281.71371459961","637.25498199463","395.17524719238","","",""
"67","A_1152_1.LEFT_MLO","307.99613952637","299.84973907471","493.87672424316","453.01452636719","","",""
"68","A_1153_1.LEFT_CC","339.56211090088","147.54018783569","525.50643920898","255.41246414185","","",""
"69","A_1153_1.LEFT_CC","576.58634185791","280.94951629639","640","543.26488494873","","",""
"70","A_1153_1.LEFT_MLO","129.03050422668","255.0266456604","508.11943054199","495.58277130127","","",""
"71","A_1153_1.LEFT_MLO","421.04110717773","18.407552242279","640","527.26982116699","","",""
"72","A_1153_1.LEFT_MLO","225.11301040649","301.2392616272","343.02059173584","371.81491851807","","",""
"73","A_1153_1.LEFT_MLO","206.69364929199","292.22190856934","373.15120697022","378.46019744873","","",""
"74","A_1154_1.LEFT_MLO","477.50865936279","65.863366127014","636.3410949707","321.98619842529","","",""
"75","A_1155_1.LEFT_CC","437.82531738281","299.25569534302","531.43154144287","369.19940948486","","",""
